id,question
4ac4149276cc8afd1a9847fe3fac6128,What defines an API?
4ac4149276cc8afd1a9847fe3fac6128,Describe API functionality.
4ac4149276cc8afd1a9847fe3fac6128,List API categories.
4ac4149276cc8afd1a9847fe3fac6128,What are web APIs?
4ac4149276cc8afd1a9847fe3fac6128,Explain library APIs.
31a632d5ac00efa2e69864220cc3cade,Define cloud computing.
31a632d5ac00efa2e69864220cc3cade,List cloud computing advantages.
31a632d5ac00efa2e69864220cc3cade,What cloud models exist?
31a632d5ac00efa2e69864220cc3cade,How does cloud computing save costs?
31a632d5ac00efa2e69864220cc3cade,"Explain IaaS, PaaS, and SaaS."
6ba93f1ed740ae5296c38c27cc0d3f04,Define VR.
6ba93f1ed740ae5296c38c27cc0d3f04,How does VR function?
6ba93f1ed740ae5296c38c27cc0d3f04,VR applications?
6ba93f1ed740ae5296c38c27cc0d3f04,What is a VR setup?
6ba93f1ed740ae5296c38c27cc0d3f04,Example uses of VR?
dbf43aeb2ff7bbee8b843775989bc2e2,Define cybersecurity.
dbf43aeb2ff7bbee8b843775989bc2e2,Why is cybersecurity crucial?
dbf43aeb2ff7bbee8b843775989bc2e2,List typical threats in cybersecurity.
dbf43aeb2ff7bbee8b843775989bc2e2,What does cybersecurity guard against?
dbf43aeb2ff7bbee8b843775989bc2e2,How does cybersecurity protect information?
bc65e3cfd5898dfd1e4d6b8cbca733e7,Define database.
bc65e3cfd5898dfd1e4d6b8cbca733e7,List database categories.
bc65e3cfd5898dfd1e4d6b8cbca733e7,Why use a database?
bc65e3cfd5898dfd1e4d6b8cbca733e7,Types of database systems?
bc65e3cfd5898dfd1e4d6b8cbca733e7,Database advantages?
618430966fab03a98b27418542061c6f,Define software development.
618430966fab03a98b27418542061c6f,List some languages used in software creation.
618430966fab03a98b27418542061c6f,Tips for writing better code?
618430966fab03a98b27418542061c6f,What entails writing code for computers?
618430966fab03a98b27418542061c6f,Name a few programming languages.
b96294b508f126317a6c92cf9c749a93,Define networking.
b96294b508f126317a6c92cf9c749a93,What is a LAN?
b96294b508f126317a6c92cf9c749a93,Benefits of network sharing?
b96294b508f126317a6c92cf9c749a93,Describe WAN types.
b96294b508f126317a6c92cf9c749a93,How does networking enhance efficiency?
2965781817e304b57cc964aedfcd2eda,Define data science?
2965781817e304b57cc964aedfcd2eda,Describe steps in data science.
2965781817e304b57cc964aedfcd2eda,Name data science tools.
2965781817e304b57cc964aedfcd2eda,Outline the data science process.
2965781817e304b57cc964aedfcd2eda,List tools for data analysis.
dc28670f00e167907f13224cb54856df,Describe IoT.
dc28670f00e167907f13224cb54856df,What devices are in IoT?
dc28670f00e167907f13224cb54856df,What can IoT do?
dc28670f00e167907f13224cb54856df,How does IoT work?
dc28670f00e167907f13224cb54856df,List IoT uses.
1b2edec5d41cc92bf4989bf01e22997b,Describe blockchain.
1b2edec5d41cc92bf4989bf01e22997b,How does a blockchain function?
1b2edec5d41cc92bf4989bf01e22997b,What are blockchain benefits?
1b2edec5d41cc92bf4989bf01e22997b,Define blockchain.
1b2edec5d41cc92bf4989bf01e22997b,Why use blockchain?
6575a5a872b501275786c665eb6e922a,Define neural networks.
6575a5a872b501275786c665eb6e922a,What are artificial neural networks?
6575a5a872b501275786c665eb6e922a,Describe how neural networks function.
6575a5a872b501275786c665eb6e922a,How do artificial neural networks operate?
6575a5a872b501275786c665eb6e922a,Explain the learning process of neural networks.
ef50fd7fb9f06736928edbe7a47e08b4,Define NLP.
ef50fd7fb9f06736928edbe7a47e08b4,Describe NLP methods.
ef50fd7fb9f06736928edbe7a47e08b4,How does NLP work?
ef50fd7fb9f06736928edbe7a47e08b4,Uses of NLP?
ef50fd7fb9f06736928edbe7a47e08b4,NLP applications?
f74730013d12168c7123b334104841f6,Define big data.
f74730013d12168c7123b334104841f6,What characterizes big data as 3Vs?
f74730013d12168c7123b334104841f6,Describe big data analysis.
f74730013d12168c7123b334104841f6,How does big data differ from traditional data?
f74730013d12168c7123b334104841f6,Name some tools for analyzing big data.
224668557b23b9c7d1f78c16bbe03070,Define DevOps.
224668557b23b9c7d1f78c16bbe03070,What are the core principles of DevOps?
224668557b23b9c7d1f78c16bbe03070,Describe how DevOps enhances software processes.
224668557b23b9c7d1f78c16bbe03070,How does DevOps speed up software delivery?
224668557b23b9c7d1f78c16bbe03070,Describe the benefits of using DevOps for development.
edb3c294a4a743c9134529b3daa321f7,Define VR.
edb3c294a4a743c9134529b3daa321f7,Describe VR classifications.
edb3c294a4a743c9134529b3daa321f7,List VR uses.
edb3c294a4a743c9134529b3daa321f7,What systems does VR include?
edb3c294a4a743c9134529b3daa321f7,Explain VR applications.
6c0dab8dc24a083d08c40b9581a0b3f4,Define computer architecture.
6c0dab8dc24a083d08c40b9581a0b3f4,Describe Von Neumann model.
6c0dab8dc24a083d08c40b9581a0b3f4,Name the parts of a CPU.
6c0dab8dc24a083d08c40b9581a0b3f4,What does Von Neumann architecture mean?
6c0dab8dc24a083d08c40b9581a0b3f4,List CPU components.
3628abb472f1a9451960786a34633eb8,What involves digital circuit design?
3628abb472f1a9451960786a34633eb8,Describe basic digital circuit elements.
3628abb472f1a9451960786a34633eb8,"What do AND, OR, and NOT gates do?"
3628abb472f1a9451960786a34633eb8,How do sequential circuits store data?
3628abb472f1a9451960786a34633eb8,What synchronizes digital data?
b85e6e16f92938222f6e0e65313b85fe,Define JavaScript.
b85e6e16f92938222f6e0e65313b85fe,List JavaScript data type examples.
b85e6e16f92938222f6e0e65313b85fe,Name some JS frameworks.
b85e6e16f92938222f6e0e65313b85fe,What language builds interactive sites?
b85e6e16f92938222f6e0e65313b85fe,Mention reusable JS code collections.
3cc30524baa45a2ddd650723d4d45ccd,Define React.
3cc30524baa45a2ddd650723d4d45ccd,Describe React's components.
3cc30524baa45a2ddd650723d4d45ccd,What functions do React hooks provide?
3cc30524baa45a2ddd650723d4d45ccd,How do React components function?
3cc30524baa45a2ddd650723d4d45ccd,What's the purpose of React hooks?
bd5d46bfb0869b772e550038d2715871,How do traditional and OOP methods differ?
bd5d46bfb0869b772e550038d2715871,Contrast conventional programming and OOP.
bd5d46bfb0869b772e550038d2715871,How does procedural programming compare to OOP?
bd5d46bfb0869b772e550038d2715871,What sets object-oriented programming apart from conventional methods?
bd5d46bfb0869b772e550038d2715871,Describe the key differences between procedural and OOP.
4a826907bf52bb6fc5558910c1c887e8,Define data abstraction.
4a826907bf52bb6fc5558910c1c887e8,How does data abstraction function?
4a826907bf52bb6fc5558910c1c887e8,What role does data abstraction play?
4a826907bf52bb6fc5558910c1c887e8,What is the purpose of data abstraction?
4a826907bf52bb6fc5558910c1c887e8,Describe the concept of data abstraction.
74ee807ba80d13a9b1a21e76ff096c23,"Describe objects, classes, and methods in OOP."
74ee807ba80d13a9b1a21e76ff096c23,What are objects in the context of OOP?
74ee807ba80d13a9b1a21e76ff096c23,Define classes and methods in programming.
74ee807ba80d13a9b1a21e76ff096c23,How do classes relate to objects in programming?
74ee807ba80d13a9b1a21e76ff096c23,What role do methods play in OOP?
8f2479736ccf938832f52f72f9493562,What's the role of constructors?
8f2479736ccf938832f52f72f9493562,Define constructor in OOP.
8f2479736ccf938832f52f72f9493562,How do constructors function?
8f2479736ccf938832f52f72f9493562,Role of constructors in class initialization?
8f2479736ccf938832f52f72f9493562,Purpose of constructors in a class?
3676528d4fb5605507ad0b3021b7c2a7,What do destructors do in OOP?
3676528d4fb5605507ad0b3021b7c2a7,Describe destructors briefly.
3676528d4fb5605507ad0b3021b7c2a7,How do destructors function in code?
3676528d4fb5605507ad0b3021b7c2a7,What is the purpose of destructors?
3676528d4fb5605507ad0b3021b7c2a7,Can you define destructors simply?
f505279b55ea1b45a03c2249c0328390,Define operator overloading.
f505279b55ea1b45a03c2249c0328390,How does operator overloading work?
f505279b55ea1b45a03c2249c0328390,What role does operator overloading play?
f505279b55ea1b45a03c2249c0328390,Describe the use of operator overloading.
f505279b55ea1b45a03c2249c0328390,Why utilize operator overloading?
d3c9c7726e33b2328bfed8bfdc317bd6,What do templates in programming do?
d3c9c7726e33b2328bfed8bfdc317bd6,Describe class templates.
d3c9c7726e33b2328bfed8bfdc317bd6,How do function templates work?
d3c9c7726e33b2328bfed8bfdc317bd6,What is the purpose of templates in code?
d3c9c7726e33b2328bfed8bfdc317bd6,Explain reusable code with templates.
4b41f0b80be1a983b97606fe091b52d8,What does inheritance mean in OOP?
4b41f0b80be1a983b97606fe091b52d8,How does inheritance work in programming?
4b41f0b80be1a983b97606fe091b52d8,Describe inheritance in OOP.
4b41f0b80be1a983b97606fe091b52d8,What role does inheritance play in OOP?
4b41f0b80be1a983b97606fe091b52d8,How is inheritance used in object-oriented programming?
cbf100e6fb6dbb393b183e1f517c6dfe,What's the role of multiple inheritance?
cbf100e6fb6dbb393b183e1f517c6dfe,How does multiple inheritance work in OOP?
cbf100e6fb6dbb393b183e1f517c6dfe,Describe multiple inheritance in programming.
cbf100e6fb6dbb393b183e1f517c6dfe,Why use multiple inheritance in classes?
cbf100e6fb6dbb393b183e1f517c6dfe,What are the benefits and issues of multiple inheritance?
c92a4732cb1e4e3093f4c871b8013c87,What does polymorphism mean in OOP?
c92a4732cb1e4e3093f4c871b8013c87,Describe polymorphism in OOP.
c92a4732cb1e4e3093f4c871b8013c87,How does polymorphism work in programming?
c92a4732cb1e4e3093f4c871b8013c87,Why is polymorphism used in OOP?
c92a4732cb1e4e3093f4c871b8013c87,What role does polymorphism play in object-oriented design?
d0abf3bfc82cc9032a3f979dbc4dafd7,What does aggregation mean in OOP?
d0abf3bfc82cc9032a3f979dbc4dafd7,Describe aggregation in object-oriented programming.
d0abf3bfc82cc9032a3f979dbc4dafd7,How does aggregation work in OOP?
d0abf3bfc82cc9032a3f979dbc4dafd7,What role does aggregation play in OOP?
d0abf3bfc82cc9032a3f979dbc4dafd7,Can you explain aggregation relationships?
ef712f1b37e08624a5d2cf5e9ed7dd1f,What does debugging entail?
ef712f1b37e08624a5d2cf5e9ed7dd1f,How does testing ensure software quality?
ef712f1b37e08624a5d2cf5e9ed7dd1f,Define debugging in programming.
ef712f1b37e08624a5d2cf5e9ed7dd1f,Why is testing crucial in development?
ef712f1b37e08624a5d2cf5e9ed7dd1f,What are debugging and testing roles?
f8fb89a85fb6ce13c166abc4b97e7597,Describe event logging in programs.
f8fb89a85fb6ce13c166abc4b97e7597,What does event logging involve?
f8fb89a85fb6ce13c166abc4b97e7597,How is event logging used in software?
f8fb89a85fb6ce13c166abc4b97e7597,What information is stored in event logging?
f8fb89a85fb6ce13c166abc4b97e7597,Why use event logging in development?
ad10f01877b591c90806719b9e24b399,Define propositional logic.
ad10f01877b591c90806719b9e24b399,What is the role of propositional calculus?
ad10f01877b591c90806719b9e24b399,Describe propositional logic.
ad10f01877b591c90806719b9e24b399,What is sentential logic?
ad10f01877b591c90806719b9e24b399,How does propositional logic function?
1898b1aa8699b15dfbc4dedefc106dd2,What are symbols in propositional logic?
1898b1aa8699b15dfbc4dedefc106dd2,Describe logical operators.
1898b1aa8699b15dfbc4dedefc106dd2,What forms compound propositions?
1898b1aa8699b15dfbc4dedefc106dd2,Name operators in logic.
1898b1aa8699b15dfbc4dedefc106dd2,How do we create logical expressions?
08de88b24640d60b6836b750d4e67a9f,What is the purpose of a truth table?
08de88b24640d60b6836b750d4e67a9f,How do truth tables evaluate logic?
08de88b24640d60b6836b750d4e67a9f,Why are truth tables important in logic?
08de88b24640d60b6836b750d4e67a9f,What do truth tables display?
08de88b24640d60b6836b750d4e67a9f,How are truth values analyzed using tables?
6963caeb8dfdb5adac9d363c5cb7a565,What does ∀ mean in logic?
6963caeb8dfdb5adac9d363c5cb7a565,How does universal quantification work?
6963caeb8dfdb5adac9d363c5cb7a565,Define universal quantification.
6963caeb8dfdb5adac9d363c5cb7a565,What's the role of ∀ in predicate logic?
6963caeb8dfdb5adac9d363c5cb7a565,How is universal quantification represented?
7b2dd51834d78f04030d2f3a2c57f835,What does existential quantification mean?
7b2dd51834d78f04030d2f3a2c57f835,Describe existential quantification in logic.
7b2dd51834d78f04030d2f3a2c57f835,How is existential quantification defined?
7b2dd51834d78f04030d2f3a2c57f835,What role does existential quantification play in logic?
7b2dd51834d78f04030d2f3a2c57f835,What's the significance of existential quantification?
65302fce2d4d9518fbfc783427c7f6f8,How does algorithm complexity scale?
65302fce2d4d9518fbfc783427c7f6f8,Define algorithm growth rate.
65302fce2d4d9518fbfc783427c7f6f8,What does growth rate signify in algorithms?
65302fce2d4d9518fbfc783427c7f6f8,How is complexity growth measured?
65302fce2d4d9518fbfc783427c7f6f8,Why is algorithm growth important?
ec76c92c71859b50e02a1883a62f0d85,What do asymptotic notations represent?
ec76c92c71859b50e02a1883a62f0d85,How do asymptotic notations assess algorithms?
ec76c92c71859b50e02a1883a62f0d85,"Define Big O, Omega, and Theta."
ec76c92c71859b50e02a1883a62f0d85,What is the role of asymptotic analysis in algorithms?
ec76c92c71859b50e02a1883a62f0d85,"Why use Big O, Omega, and Theta in analysis?"
544d947dfc0ad119d485482672096fc6,How do algorithms balance time and space?
544d947dfc0ad119d485482672096fc6,What's the trade-off between memory and speed in algorithms?
544d947dfc0ad119d485482672096fc6,Describe how algorithms manage time versus space usage.
544d947dfc0ad119d485482672096fc6,How do time and memory interact in algorithm design?
544d947dfc0ad119d485482672096fc6,Why is balancing space and time crucial in algorithms?
65d218c9dc0fb1be787d6e1c20ceccca,What are typical string manipulations?
65d218c9dc0fb1be787d6e1c20ceccca,How do you handle text in code?
65d218c9dc0fb1be787d6e1c20ceccca,What operations modify strings?
65d218c9dc0fb1be787d6e1c20ceccca,Describe common string operations.
65d218c9dc0fb1be787d6e1c20ceccca,How is text processed in programming?
20bdfb0b6b6d2182a34408df08fac0bd,What does word processing mean?
20bdfb0b6b6d2182a34408df08fac0bd,Describe word processing in technology.
20bdfb0b6b6d2182a34408df08fac0bd,Define word processing software.
20bdfb0b6b6d2182a34408df08fac0bd,What's included in word processing?
20bdfb0b6b6d2182a34408df08fac0bd,Identify tools for document editing.
c39abfd7bae8271173bd02371ba1418c,What do pattern matching algorithms do?
c39abfd7bae8271173bd02371ba1418c,Uses of pattern matching in computing?
c39abfd7bae8271173bd02371ba1418c,Describe key pattern matching techniques.
c39abfd7bae8271173bd02371ba1418c,Examples of pattern matching algorithms?
c39abfd7bae8271173bd02371ba1418c,Purpose of pattern matching methods in CS?
22b42a730fe973233bde6cd3348b2e2e,Define 1D arrays in coding.
22b42a730fe973233bde6cd3348b2e2e,How do 1D arrays work?
22b42a730fe973233bde6cd3348b2e2e,Describe 1D arrays.
22b42a730fe973233bde6cd3348b2e2e,What is a linear array?
22b42a730fe973233bde6cd3348b2e2e,How to sort elements in 1D arrays?
edea8ad73d17948c82caa05b59b9a013,What are arrays with more than one dimension?
edea8ad73d17948c82caa05b59b9a013,Describe arrays having multiple dimensions in programming.
edea8ad73d17948c82caa05b59b9a013,How do multi-dimensional arrays work?
edea8ad73d17948c82caa05b59b9a013,What is a multi-dimensional data structure?
edea8ad73d17948c82caa05b59b9a013,Explain matrices as multi-dimensional arrays.
3c02d883b8030f1e5e60ba5c387fd839,What techniques find elements in arrays?
3c02d883b8030f1e5e60ba5c387fd839,How do you search an array?
3c02d883b8030f1e5e60ba5c387fd839,Discuss methods for locating array elements.
3c02d883b8030f1e5e60ba5c387fd839,What are common array search methods?
3c02d883b8030f1e5e60ba5c387fd839,How can elements be found in arrays?
5efd6cdac18a78d22bd5374d400ffbc2,What are common array sorting methods?
5efd6cdac18a78d22bd5374d400ffbc2,How do arrays get sorted?
5efd6cdac18a78d22bd5374d400ffbc2,Describe array sorting techniques.
5efd6cdac18a78d22bd5374d400ffbc2,How are arrays sorted in programming?
5efd6cdac18a78d22bd5374d400ffbc2,List some array sorting algorithms.
b92fa9fb3c951a0769319f7e42b9ea4b,How do you multiply matrices?
b92fa9fb3c951a0769319f7e42b9ea4b,What are dimensions required for matrix multiplication?
b92fa9fb3c951a0769319f7e42b9ea4b,Where is matrix multiplication used?
b92fa9fb3c951a0769319f7e42b9ea4b,Describe matrix multiplication in computing.
b92fa9fb3c951a0769319f7e42b9ea4b,Which algorithms exist for multiplying matrices?
ecad5d60925ce8c9cdc66f6165a23ddd,What is a sparse matrix?
ecad5d60925ce8c9cdc66f6165a23ddd,Describe sparse matrices in programming.
ecad5d60925ce8c9cdc66f6165a23ddd,Why use sparse matrices?
ecad5d60925ce8c9cdc66f6165a23ddd,How are sparse matrices stored?
ecad5d60925ce8c9cdc66f6165a23ddd,"What are CSR, CSC, and COO formats?"
84174c8e298222dd4a4e4f8e82964786,What is a stack?
84174c8e298222dd4a4e4f8e82964786,Describe stack structure?
84174c8e298222dd4a4e4f8e82964786,How does a stack work?
84174c8e298222dd4a4e4f8e82964786,Define stack operations.
84174c8e298222dd4a4e4f8e82964786,Uses of stack in software?
53e8f88aed4614dde477177a0584118f,Describe a queue in programming.
53e8f88aed4614dde477177a0584118f,How does a computer queue work?
53e8f88aed4614dde477177a0584118f,What is the FIFO data structure?
53e8f88aed4614dde477177a0584118f,How do queues handle data operations?
53e8f88aed4614dde477177a0584118f,Where are queues commonly applied?
4589558906a98e49b88840b5fe7475fc,How does recursion work?
4589558906a98e49b88840b5fe7475fc,Describe recursion in coding.
4589558906a98e49b88840b5fe7475fc,What's the concept of recursive functions?
4589558906a98e49b88840b5fe7475fc,How is recursion used in programming?
4589558906a98e49b88840b5fe7475fc,Explain how recursive methods function.
4fc5e4e5950dd5df683966fe27f35c35,Describe Polish Notation.
4fc5e4e5950dd5df683966fe27f35c35,How does Polish Notation work?
4fc5e4e5950dd5df683966fe27f35c35,What is the purpose of Prefix Notation?
4fc5e4e5950dd5df683966fe27f35c35,Why use operators before operands?
4fc5e4e5950dd5df683966fe27f35c35,How do you write expressions in Polish Notation?
0de9cf0cb4478b88555f7ff139c85e2d,Describe Quick-sort strategy.
0de9cf0cb4478b88555f7ff139c85e2d,How does Quick-sort partition arrays?
0de9cf0cb4478b88555f7ff139c85e2d,Quick-sort efficiency on large datasets?
0de9cf0cb4478b88555f7ff139c85e2d,Pivot selection in Quick-sort?
0de9cf0cb4478b88555f7ff139c85e2d,Worst-case time complexity of Quick-sort?
84ddc36a8d9d7d822061dda89b208a0c,What is a deque in programming?
84ddc36a8d9d7d822061dda89b208a0c,Define a deque in data structures.
84ddc36a8d9d7d822061dda89b208a0c,How does a deque function?
84ddc36a8d9d7d822061dda89b208a0c,Describe the operations of a deque.
84ddc36a8d9d7d822061dda89b208a0c,Uses for deques in algorithms?
da254e121ffb4d83d2a9d3457245bb29,What is a priority queue?
da254e121ffb4d83d2a9d3457245bb29,Describe priority queues in programming.
da254e121ffb4d83d2a9d3457245bb29,How do priority queues function?
da254e121ffb4d83d2a9d3457245bb29,Usage of priority queues in programming?
da254e121ffb4d83d2a9d3457245bb29,Applications of priority queues?
cd4970cc28fecaa84b57cb6d2bc5a0fa,How do you calculate a factorial?
cd4970cc28fecaa84b57cb6d2bc5a0fa,What does n! represent in programming?
cd4970cc28fecaa84b57cb6d2bc5a0fa,Purpose of factorial in algorithms?
cd4970cc28fecaa84b57cb6d2bc5a0fa,Use of factorial in math?
cd4970cc28fecaa84b57cb6d2bc5a0fa,Describe n! in terms of integers.
